skill_id,name,count
F3Rte1SUc7HEmvaGm3oV,Data Science,3
5cXb5vYrDwtWjeGkVfP5,Sustainable Business Practices,2
7mR1VUl25sXakwAHvYn2,Adobe Illustrator / Photoshop,2
BHuEn8ESFjWX9Ccuc3B7,Networking Strategies,2
Zd4xvtfcxuNzbVQFQ49l,Mobile App Development ,2
80yQIEyPhHtA1inX52M1,First Aid Certification,1
DQjKLZ8RSShIFDdbMAj7,Leadership Development,1
7YYwmJxZOo9nV2F0mwUb,Academic Publishing,1
RYbX3VtzQoWwkC9tR0aC,UI/UX Design,1
RrNVkn7WeeTuM9WbBQ6N,Cryptocurrency Basics,1
GeO7EEYGog0HafrmGEQP,Python Programming,1
